"","type","num","DRAR7","DRAR8","sum","%R7","%R8","%Total","%Total_R7","%Total_R8"
"1","Dm9",5,106,106,212,50,50,54.9,46.5,67.1
"2","R8_DRA",3,108,1,109,99.1,0.9,28.2,47.4,0.6
"3","R7_DRA",3,1,41,42,2.4,97.6,10.9,0.4,25.9
"4","C2",2,4,4,8,50,50,2.1,1.8,2.5
"5","Mi15",2,2,3,5,40,60,1.3,0.9,1.9
"6","Dm-DRA1",4,4,0,4,100,0,1,1.8,0
"8","L3",2,1,1,2,50,50,0.5,0.4,0.6
"9","L1",1,0,1,1,0,100,0.3,0,0.6
"12","Identified_<3",0,0,0,0,0,0,0,0,0
"7","Unidentified_>=3",2,2,1,3,66.7,33.3,0.8,0.9,0.6
"11","Unidentified_<3",0,0,0,0,0,0,0,0,0
"10","Total",24,228,158,386,59.1,40.9,100,100,100
