"","type","num","pR7","yR7","pR8","yR8","sum","%R7","%R8","%p","%y","%Total","%Total_R7","%Total_R8","%Total_p","%Total_y"
"1","Dm9",6,90,92,79,72,333,54.7,45.3,50.8,49.2,57,51.3,65.9,57.9,56.2
"2","R8",4,75,82,1,0,158,99.4,0.6,48.1,51.9,27.1,44.2,0.4,26,28.1
"3","R7",5,0,2,31,26,59,3.4,96.6,52.5,47.5,10.1,0.6,24.9,10.6,9.6
"4","L3",3,0,0,6,2,8,0,100,75,25,1.4,0,3.5,2.1,0.7
"5","C2",3,3,3,2,0,8,75,25,62.5,37.5,1.4,1.7,0.9,1.7,1
"6","Mt_VPN",1,0,2,0,3,5,40,60,0,100,0.9,0.6,1.3,0,1.7
"7","Mi15",3,1,0,0,4,5,20,80,20,80,0.9,0.3,1.7,0.3,1.4
"9","Dm8",1,2,0,0,0,2,100,0,100,0,0.3,0.6,0,0.7,0
"10","Tm5b-like",1,0,0,0,1,1,0,100,0,100,0.2,0,0.4,0,0.3
"11","Dm11",1,0,0,0,1,1,0,100,0,100,0.2,0,0.4,0,0.3
"13","Identified_<3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Unidentified_>=3",4,1,2,1,0,4,75,25,50,50,0.7,0.8,0.4,0.7,0.7
"111","Unidentified_<3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Total",32,172,183,120,109,584,60.8,39.2,50,50,100,100,100,100,100
