"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Dm-DRA1 11993077 EK","11993076",1,0,0,0,0,0,1,100,0
"Putative Dm-DRA1 11993696 EK","11993695",1,0,0,0,0,0,1,100,0
"Putative Dm9 14933803 EK","14933802",0,1,0,0,0,0,1,100,0
"Putative L3 12018070 EK","12018069",0,0,1,0,0,0,1,100,0
"Putative Dm-DRA1 16766813 EK","16766812",0,0,1,0,0,0,1,100,0
"Putative Dm-DRA1 17155322 EK","17155321",0,0,1,0,0,0,1,100,0
"Putative L1 11915726 EK","11915725",0,0,0,1,0,0,1,0,100
"Putative Mi15 11916191 EK","11916190",0,0,0,1,0,0,1,0,100
"Putative L3 10653986 EK","10653985",0,0,0,0,1,0,1,0,100
"Total","",2,1,3,2,1,0,9,66.7,33.3
