"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Dm 11511058 MF","11511057",0,4,0,0,0,4,0,0,8,50,50,100,0
"Putative Dm 11448963 MF","11448962",2,4,0,0,0,2,0,0,8,75,25,100,0
"Putative Dm 11474157 CL","11474156",0,0,0,1,0,0,0,5,6,16.7,83.3,0,100
"Putative Dm 10106711 MF","10106710",1,0,3,0,0,0,0,0,4,100,0,25,75
"Putative Dm  11455002 MF","11455001",0,0,0,3,0,0,0,0,3,100,0,0,100
"Putative Dm 10562975 MF","10562974",0,2,0,0,0,0,0,0,2,100,0,100,0
"Putative Dm 11723760 MF","11723759",0,0,0,0,1,0,0,0,1,0,100,100,0
"Putative Dm 10638023 HL","10638022",0,0,1,0,0,0,0,0,1,100,0,0,100
"Putative Dm 10537971 MF","10537970",0,1,0,0,0,0,0,0,1,100,0,100,0
"Total","",3,11,4,4,1,6,0,5,34,64.7,35.3,61.8,38.2
