"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Dm8 11453022 CL","11453021",4,4,19,35,0,0,0,0,62,100,0,12.9,87.1
"Putative Dm8 10411812 MF","10411811",21,40,0,0,0,0,0,0,61,100,0,100,0
"Putative Dm8 10208776 MF","10208775",15,3,35,6,0,0,0,0,59,100,0,30.5,69.5
"Putative Dm8 11453312 CL","11453311",9,17,8,15,0,0,0,0,49,100,0,53.1,46.9
"Putative Dm8 10109587 MF","10109586",39,4,0,0,0,0,0,0,43,100,0,100,0
"Putative Dm8 11500072 HL","11500071",1,17,0,0,0,0,0,0,18,100,0,100,0
"Putative Dm8 11448877 HL","11523807",0,17,0,0,0,0,0,0,17,100,0,100,0
"Putative Dm8 10419715 MF","10419714",14,0,0,2,0,0,0,0,16,100,0,87.5,12.5
"Putative Dm8 11447521 MF","11447520",0,0,9,5,0,0,0,0,14,100,0,0,100
"Putative Dm8 10410433 MF","10410432",10,3,0,0,0,0,0,0,13,100,0,100,0
"Putative Dm8 10196190 MF","10196189",10,0,3,0,0,0,0,0,13,100,0,76.9,23.1
"Putative Dm8 10245572 MF","10245571",0,0,2,9,0,0,0,0,11,100,0,0,100
"Putative Dm8 10971699 MF","10971698",0,0,0,10,0,0,0,0,10,100,0,0,100
"Putative Dm8 11445682 MF","11445681",7,0,0,0,0,0,0,0,7,100,0,100,0
"Putative Dm8 10995249 MF","10995248",0,0,0,3,0,0,0,0,3,100,0,0,100
"Total","",130,105,76,85,0,0,0,0,396,100,0,59.3,40.7
