"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Tm3 14359935 CL","14359934",0,0,1,0,0,0,0,0,1,100,0,0,100
"Putative Tm1 8942830690 CL","14653782",0,0,0,0,1,0,0,0,1,0,100,100,0
"Putative Tm 9725279989 CL","14767205",0,0,0,1,0,0,0,0,1,100,0,0,100
"Putative Tm 15805232 HL","15805231",0,0,1,0,0,0,0,0,1,100,0,0,100
"Putative Tm 11749586 HL","11749585",0,0,1,0,0,0,0,0,1,100,0,0,100
"Putative Tm 10657485 HL","10657484",0,0,1,0,0,0,0,0,1,100,0,0,100
"Putative Tm 10547529 MF","10547528",0,0,1,0,0,0,0,0,1,100,0,0,100
"Putative T1 11454504 MF","11454503",0,0,0,0,1,0,0,0,1,0,100,100,0
"Putative Mi14 8421422362 CL","14746351",0,0,0,0,1,0,0,0,1,0,100,100,0
"Putative Mi1 8809115577 CL","14880472",0,0,0,0,1,0,0,0,1,0,100,100,0
"Putative MeTu 10656251 MF","10656250",0,0,0,1,0,0,0,0,1,100,0,0,100
"Putative LaWF1 8286417189 CL","14624795",0,0,0,0,0,1,0,0,1,0,100,100,0
"Putative Dm 11723760 MF","11723759",0,0,0,0,1,0,0,0,1,0,100,100,0
"Putative Dm 10638023 HL","10638022",0,0,1,0,0,0,0,0,1,100,0,0,100
"Putative Dm 10537971 MF","10537970",0,1,0,0,0,0,0,0,1,100,0,100,0
"Total","",0,1,6,2,5,1,0,0,15,60,40,46.7,53.3
