"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Tm 11544671 HL","11544670",0,10,0,0,0,0,0,0,10,100,0,100,0
"Putative Tm 11671250 MF","11671249",0,0,0,0,0,0,0,7,7,0,100,0,100
"Putative Tm 10692408 HL","10692407",0,0,0,0,0,0,3,2,5,0,100,0,100
"Putative Tm 11474296 CL","11474295",0,0,0,0,0,0,0,4,4,0,100,0,100
"Putative Tm 11458217 CL","11458216",0,0,0,0,4,0,0,0,4,0,100,100,0
"Putative Tm 11455044 MF","11455043",0,0,0,4,0,0,0,0,4,100,0,0,100
"Putative Tm 11445921 MF","11445920",3,0,0,0,1,0,0,0,4,75,25,100,0
"Putative Tm 11459161 CL","11459160",1,0,0,0,2,0,0,0,3,33.3,66.7,100,0
"Putative Tm 11450248 HL","11450247",0,3,0,0,0,0,0,0,3,100,0,100,0
"Putative Tm 11469206 HL","11469205",0,0,0,0,0,2,0,0,2,0,100,100,0
"Putative Tm 11458353 MF","11458352",0,0,0,0,2,0,0,0,2,0,100,100,0
"Putative Tm 11448401 MF","11448400",0,0,2,0,0,0,0,0,2,100,0,0,100
"Putative Tm 10649077 MF","10649076",0,0,0,0,0,0,2,0,2,0,100,0,100
"Putative Tm 9725279989 CL","14767205",0,0,0,1,0,0,0,0,1,100,0,0,100
"Putative Tm 15805232 HL","15805231",0,0,1,0,0,0,0,0,1,100,0,0,100
"Putative Tm 11749586 HL","11749585",0,0,1,0,0,0,0,0,1,100,0,0,100
"Putative Tm 10657485 HL","10657484",0,0,1,0,0,0,0,0,1,100,0,0,100
"Putative Tm 10547529 MF","10547528",0,0,1,0,0,0,0,0,1,100,0,0,100
"Total","",4,13,6,5,9,2,5,13,57,49.1,50.9,49.1,50.9
