"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"neuron 17159865","17159864",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 17131177 MF","17131176",1,0,0,0,0,0,0,0,1,100,0,100,0
"Neuron 15901693","15901692",0,0,1,0,0,0,0,0,1,100,0,0,100
"Neuron 11598593","11598592",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11512294 HL","11512293",0,0,0,0,0,1,0,0,1,0,100,100,0
"neuron 11511048","11511047",0,1,0,0,0,0,0,0,1,100,0,100,0
"neuron 11481388","11481387",0,0,0,0,0,0,1,0,1,0,100,0,100
"neuron 11480446","11480445",0,0,0,0,0,0,1,0,1,0,100,0,100
"neuron 11475567","11475566",0,0,0,0,0,0,1,0,1,0,100,0,100
"neuron 11474876","11474875",0,0,0,0,0,0,1,0,1,0,100,0,100
"neuron 11474415","11474414",0,0,0,0,0,0,0,1,1,0,100,0,100
"neuron 11474213 CL","11474212",0,0,0,0,0,0,0,1,1,0,100,0,100
"neuron 11474053","11474052",0,0,0,0,0,0,1,0,1,0,100,0,100
"neuron 11474033","11474032",0,0,0,0,0,0,1,0,1,0,100,0,100
"neuron 11474028","11474027",0,0,0,0,0,0,1,0,1,0,100,0,100
"neuron 11473958","11473957",0,0,0,0,0,0,1,0,1,0,100,0,100
"neuron 11473474 CL","11473473",0,0,0,0,0,0,0,1,1,0,100,0,100
"neuron 11472913","11472912",0,0,0,0,0,0,1,0,1,0,100,0,100
"neuron 11472423","11472422",0,0,0,0,0,0,0,1,1,0,100,0,100
"neuron 11471813 HL","11471812",0,0,0,0,0,1,0,0,1,0,100,100,0
"neuron 11471528","11471527",0,0,0,0,0,1,0,0,1,0,100,100,0
"neuron 11469592","11469591",0,0,0,0,0,1,0,0,1,0,100,100,0
"neuron 11469561","11469560",0,0,0,0,0,0,1,0,1,0,100,0,100
"neuron 11468662","11468661",0,0,0,0,0,0,0,1,1,0,100,0,100
"neuron 11467899","11467898",0,0,0,0,0,1,0,0,1,0,100,100,0
"neuron 11467356","11467355",0,0,0,0,0,1,0,0,1,0,100,100,0
"neuron 11459213","11459212",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11459079","11459078",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11458409","11458408",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11458393 CL","11458392",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11458262","11458261",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11458257","11458256",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11458247","11458246",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11458187","11458186",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11458100","11458099",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11458095","11458094",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11457627 MF","11457626",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11457032 MF","11457031",0,0,0,0,1,0,0,0,1,0,100,100,0
"neuron 11455152","11455151",0,0,0,1,0,0,0,0,1,100,0,0,100
"neuron 11454942","11454941",0,0,0,1,0,0,0,0,1,100,0,0,100
"neuron 11454742","11454741",0,0,0,1,0,0,0,0,1,100,0,0,100
"neuron 11453858","11453857",0,0,0,1,0,0,0,0,1,100,0,0,100
"neuron 11453555","11453554",0,0,0,1,0,0,0,0,1,100,0,0,100
"neuron 11453195","11453194",0,0,0,1,0,0,0,0,1,100,0,0,100
"neuron 11452412","11452411",0,0,1,0,0,0,0,0,1,100,0,0,100
"neuron 11449753","11449752",0,1,0,0,0,0,0,0,1,100,0,100,0
"neuron 11448908","11448907",0,1,0,0,0,0,0,0,1,100,0,100,0
"neuron 11448383","11448382",0,0,1,0,0,0,0,0,1,100,0,0,100
"neuron 11448211","11448210",0,0,1,0,0,0,0,0,1,100,0,0,100
"neuron 11448038","11448037",0,0,1,0,0,0,0,0,1,100,0,0,100
"neuron 11447605","11447604",0,0,1,0,0,0,0,0,1,100,0,0,100
"neuron 11447258 HL","11447257",0,0,1,0,0,0,0,0,1,100,0,0,100
"neuron 11446424 HL","11446423",1,0,0,0,0,0,0,0,1,100,0,100,0
"Google: 9334377939 HL","15901648",0,0,1,0,0,0,0,0,1,100,0,0,100
"Total","",2,3,8,6,14,6,10,5,54,35.2,64.8,46.3,53.7
