"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Dm-DRA2 10411789 TO","10411788",0,1,0,0,31,0,32,3.1,96.9
"Putative Dm-DRA2 10483849 TO","10483848",0,0,0,19,0,0,19,0,100
"Putative Dm-DRA2 11710980 TO","11710979",0,0,1,0,0,12,13,7.7,92.3
"Putative Dm-DRA2 10449077 TO","10449076",0,0,0,9,0,0,9,0,100
"Putative Dm-DRA2 10484772 TO","10484771",0,0,0,0,8,0,8,0,100
"Putative Dm-DRA2 17163677 EK","17163676",0,0,0,0,0,7,7,0,100
"Putative Dm-DRA2 13262260 EK","13262259",0,0,0,7,0,0,7,0,100
"Putative Dm-DRA2 14311484 GS","14311483",0,1,0,0,5,0,6,16.7,83.3
"Putative Dm-DRA2 11918437 EK","11918436",0,0,0,5,0,0,5,0,100
"Putative Dm-DRA2 11981476 EK","11981475",0,0,0,2,0,0,2,0,100
"Total","",0,2,1,42,44,19,108,2.8,97.2
