"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative VPN_DRA ME.R 8656926956 EK","15997281",0,1,0,0,0,0,1,100,0
"Putative VPN_DRA ME.R 16215492 EK","16215491",0,1,0,0,0,0,1,100,0
"Putative VPN_DRA ME.R 12188203 EK","12188202",1,0,0,0,0,0,1,100,0
"Putative VPN_DRA ME.R 10088063089 EK","15984100",1,0,0,0,0,0,1,100,0
"Putative T2 17252542 EK","17252541",0,0,1,0,0,0,1,100,0
"Putative Mt_DRA_2 12109027 EK","12109026",1,0,0,0,0,0,1,100,0
"Putative Mt_DRA_2 11993433 EK","11993432",1,0,0,0,0,0,1,100,0
"Putative Mt_DRA_2 11992771 EK","11992770",1,0,0,0,0,0,1,100,0
"Putative Mi9 11947153 EK","11947152",0,0,0,1,0,0,1,0,100
"Putative Mi4 12045603 EK","12045602",0,0,0,0,1,0,1,0,100
"Putative MeTu_DRA 10820917 EK","10820916",1,0,0,0,0,0,1,100,0
"Putative MeTu_DRA 10755132 EK","10755131",1,0,0,0,0,0,1,100,0
"Putative MeTu 4735813145 EK","15978559",0,1,0,0,0,0,1,100,0
"Putative MeTu 14726393 MF","14726392",1,0,0,0,0,0,1,100,0
"Putative L3 6831613493 EK","15970720",0,1,0,0,0,0,1,100,0
"Putative L3 17253296 EK","17253295",0,0,0,0,0,1,1,0,100
"Putative Dm3 12018854 EK","12018853",0,0,0,0,0,1,1,0,100
"Putative C3 12002623 EK","12002622",0,0,0,0,0,1,1,0,100
"Total","",8,4,1,1,1,3,18,72.2,27.8
