"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative MeTu_DRA 11995074 EK","11995073",14,0,0,0,0,0,14,100,0
"Putative MeTu_DRA 11994449 EK","11994448",12,0,0,0,0,0,12,100,0
"Putative MeTu_DRA 11908711 GS","11908710",0,10,0,0,0,0,10,100,0
"Putative MeTu_DRA 11695294 PA","11695293",0,0,10,0,0,0,10,100,0
"Putative MeTu_DRA 10737979 TO","15749047",10,0,0,0,0,0,10,100,0
"Putative MeTu_DRA 12106384 EK","12106383",0,0,9,0,0,0,9,100,0
"Putative MeTu_DRA 11994564 EK","11994563",8,0,0,0,0,0,8,100,0
"Putative MeTu_DRA 10438340 TO","10438339",0,0,8,0,0,0,8,100,0
"Putative MeTu_DRA 7749081264 EK","15952007",0,0,7,0,0,0,7,100,0
"Putative MeTu_DRA 13136157 EK","13136156",0,7,0,0,0,0,7,100,0
"Putative MeTu_DRA 11995103 EK","11995102",7,0,0,0,0,0,7,100,0
"Putative MeTu_DRA 15616478 EK","15616477",0,6,0,0,0,0,6,100,0
"Putative MeTu_DRA 15600899 EK","15600898",0,6,0,0,0,0,6,100,0
"Putative MeTu_DRA 11993031 EK","11993030",6,0,0,0,0,0,6,100,0
"Putative MeTu_DRA 10479162 TO","15698953",0,6,0,0,0,0,6,100,0
"Putative MeTu_DRA 14888321 AT","14888320",0,0,5,0,0,0,5,100,0
"Putative MeTu_DRA 12127370 TO","12127369",5,0,0,0,0,0,5,100,0
"Putative MeTu_DRA 11993383 EK","11993382",5,0,0,0,0,0,5,100,0
"Putative MeTu_DRA 11992933 EK","11992932",5,0,0,0,0,0,5,100,0
"Putative MeTu_DRA 6844453075 EK","15949451",0,0,4,0,0,0,4,100,0
"Putative MeTu_DRA 14889232 EK","14889231",0,0,4,0,0,0,4,100,0
"Putative MeTu_DRA 11993353 EK","11993352",4,0,0,0,0,0,4,100,0
"Putative MeTu_DRA 11993315 EK","11993314",2,2,0,0,0,0,4,100,0
"Putative MeTu_DRA 11908744 GS","11908743",0,4,0,0,0,0,4,100,0
"Putative MeTu_DRA 9706730253 EK","14864504",0,3,0,0,0,0,3,100,0
"Putative MeTu_DRA 14936635 EK","14936634",0,0,3,0,0,0,3,100,0
"Putative MeTu_DRA 11993065 EK","11993064",3,0,0,0,0,0,3,100,0
"Putative MeTu_DRA 11908669 GS","11908668",0,3,0,0,0,0,3,100,0
"Putative MeTu_DRA 11903993 EK","11903992",0,3,0,0,0,0,3,100,0
"Putative MeTu_DRA 11993247 EK","15749075",2,0,0,0,0,0,2,100,0
"Putative MeTu_DRA 10820917 EK","10820916",1,0,0,0,0,0,1,100,0
"Putative MeTu_DRA 10755132 EK","10755131",1,0,0,0,0,0,1,100,0
"Total","",85,50,50,0,0,0,185,100,0
