"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Neuron 15007628 (not traceable) EK","15007627",0,5,0,0,0,0,5,100,0
" 10655594 EK (untraceable)","10655593",0,0,0,0,5,0,5,0,100
"Neuron 15767888","15767887",0,2,0,0,0,0,2,100,0
"Neuron 14867404","14867403",0,2,0,0,0,0,2,100,0
"Neuron 14788296 EK","14788295",0,2,0,0,0,0,2,100,0
"neuron 11994901 EK","11994900",0,0,0,2,0,0,2,0,100
"neuron 11947310 EK (untraceable)","11947309",0,0,0,2,0,0,2,0,100
"neuron 11918119 EK (untraceable)","11918118",0,0,0,2,0,0,2,0,100
"neuron 11918097 EK (untraceable)","11918096",0,0,0,2,0,0,2,0,100
"neuron 11904799 GS (untraceable)","11904798",0,2,0,0,0,0,2,100,0
"neuron 11904043 GS (not traceable)","11904042",0,2,0,0,0,0,2,100,0
"neuron 11903818 GS (not traceable)","11903817",0,2,0,0,0,0,2,100,0
"Neuron 14991389","14991388",0,1,0,0,0,0,1,100,0
"Neuron 14798841","14798840",0,1,0,0,0,0,1,100,0
"Neuron 14315234","14315233",0,0,0,0,1,0,1,0,100
"Neuron 14081457 GS","14081456",0,1,0,0,0,0,1,100,0
"Neuron 13938782","13938781",0,1,0,0,0,0,1,100,0
"Neuron 13433448 EK (untraceable)","13433447",1,0,0,0,0,0,1,100,0
"neuron 13179813 EK","13179812",0,1,0,0,0,0,1,100,0
"neuron 12043433 EK","12043432",0,0,0,1,0,0,1,0,100
"neuron 12019263","12019262",0,0,1,0,0,0,1,100,0
"neuron 12019256","12019255",0,0,0,0,0,1,1,0,100
"neuron 12018755","12018754",0,0,0,0,0,1,1,0,100
"neuron 12017797","12017796",0,0,1,0,0,0,1,100,0
"neuron 12017523","12017522",0,0,1,0,0,0,1,100,0
"neuron 12017236","12017235",0,0,0,0,0,1,1,0,100
"neuron 12017107","12017106",0,0,0,0,0,1,1,0,100
"neuron 12016873","12016872",0,0,0,0,0,1,1,0,100
"neuron 12016687","12016686",0,0,1,0,0,0,1,100,0
"neuron 12016413","12016412",0,0,0,0,0,1,1,0,100
"neuron 12015890","12015889",0,0,0,0,0,1,1,0,100
"neuron 12015018","12015017",0,0,1,0,0,0,1,100,0
"neuron 12014001","12014000",0,0,1,0,0,0,1,100,0
"neuron 12013715","12013714",0,0,1,0,0,0,1,100,0
"neuron 12002539","12002538",0,0,1,0,0,0,1,100,0
"neuron 12002237","12002236",0,0,1,0,0,0,1,100,0
"neuron 12002170","12002169",0,0,1,0,0,0,1,100,0
"neuron 12002160","12002159",0,0,1,0,0,0,1,100,0
"neuron 11995171 EK ","11995170",1,0,0,0,0,0,1,100,0
"neuron 11995069 EK","11995068",1,0,0,0,0,0,1,100,0
"neuron 11995028 EK","11995027",1,0,0,0,0,0,1,100,0
"neuron 11994592 EK","11994591",1,0,0,0,0,0,1,100,0
"neuron 11994244 EK","11994243",1,0,0,0,0,0,1,100,0
"neuron 11993824 EK","11993823",1,0,0,0,0,0,1,100,0
"neuron 11992865 EK","11992864",1,0,0,0,0,0,1,100,0
"neuron 11981310 EK","11981309",0,0,0,1,0,0,1,0,100
"neuron 11981299 EK","11981298",0,0,0,1,0,0,1,0,100
"neuron 11908911 GS","11908910",0,0,0,0,1,0,1,0,100
"neuron 11908664","11908663",0,1,0,0,0,0,1,100,0
"neuron 11904702","11904701",0,1,0,0,0,0,1,100,0
"neuron 11904687","11904686",0,1,0,0,0,0,1,100,0
"neuron 11904395","11904394",0,1,0,0,0,0,1,100,0
"neuron 11904241","11904240",0,1,0,0,0,0,1,100,0
"neuron 11904203","11904202",0,1,0,0,0,0,1,100,0
"neuron 11904153","11904152",0,1,0,0,0,0,1,100,0
"neuron 11904033","11904032",0,1,0,0,0,0,1,100,0
"neuron 11903739","11903738",0,1,0,0,0,0,1,100,0
"neuron 11902130","11902129",0,1,0,0,0,0,1,100,0
"neuron 11829995","11829994",0,0,0,0,0,1,1,0,100
"Total","",8,32,11,11,7,8,77,66.2,33.8
