"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative VPN_DRA ME.R 11992908 EK","11992907",2,0,6,0,0,0,8,100,0
"Putative VPN_DRA ME.R 11904074 GS EK","11904073",5,2,0,0,0,0,7,100,0
"Putative VPN_DRA ME.R  4271777 EK","4271776",1,4,0,0,0,0,5,100,0
"Putative VPN_DRA ME.R 17165716 EK","17165715",0,0,4,0,0,0,4,100,0
"Putative VPN_DRA ME.R 8541155621 EK","15969128",3,0,0,0,0,0,3,100,0
"Putative VPN_DRA ME.R 16886431 PA","16886430",0,0,3,0,0,0,3,100,0
"Putative VPN_DRA ME.R 8656926956 EK","15997281",0,1,0,0,0,0,1,100,0
"Putative VPN_DRA ME.R 16215492 EK","16215491",0,1,0,0,0,0,1,100,0
"Putative VPN_DRA ME.R 12188203 EK","12188202",1,0,0,0,0,0,1,100,0
"Putative VPN_DRA ME.R 10088063089 EK","15984100",1,0,0,0,0,0,1,100,0
"Total","",13,8,13,0,0,0,34,100,0
